row_type,item,full_data_primary_rank,loo_median_rank,loo_min_rank,loo_max_rank,animal_producing_worst_rank,rank_definition,excluded_animal_id,ADEL_URYVR_rank,ADEL_URYDL_rank,ADEL_RMEL_rank,RMEL_URYDL_rank,RMEL_RMER_rank,DA_mech_URY_URX_module_rank,PDF_count_top20,PDF_enrichment_p_value_K20,top20_overlap_with_full_data_primary_ranking
summary,ADEL-URYVR,2,3,2,15,2023-01-16-15,saved Phase10F pair rank,,,,,,,,,,
summary,ADEL-URYDL,6,12,1,258,2023-01-17-14,saved Phase10F pair rank,,,,,,,,,,
summary,ADEL-RMEL,4,8,6,20,2023-01-10-14,saved Phase10F pair rank,,,,,,,,,,
summary,RMEL-URYDL,23,11,6,37,2023-01-10-14,saved Phase10F pair rank,,,,,,,,,,
summary,RMEL-RMER,38,54,24,827,2023-01-17-14,saved Phase10F pair rank,,,,,,,,,,
summary,DA_mech<->URY_URX module,2,3,1,4,2022-06-28-01;2023-01-09-22;2023-01-10-14;2023-01-23-08,"saved Phase10F DA_URY_min_rank = min(ADEL-URYVR rank, ADEL-URYDL rank)",,,,,,,,,,
per_exclusion,,,,,,,,2022-06-14-01,3,12,8,9,51,3,5,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2022-06-14-07,3,5,7,13,51,3,5,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2022-06-14-13,3,9,7,13,54,3,5,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2022-06-28-01,4,58,6,7,93,4,4,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2022-06-28-07,3,15,17,9,57,3,5,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2022-07-15-06,3,17,14,8,95,3,5,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2022-07-15-12,2,5,10,11,60,2,5,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2022-07-20-01,3,11,8,7,47,3,5,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2022-07-26-01,3,14,6,9,51,3,5,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2022-08-02-01,3,12,8,16,52,3,5,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2022-12-21-06,3,8,17,10,52,3,5,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2023-01-05-01,3,14,8,13,55,3,5,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2023-01-05-18,2,12,10,11,56,2,5,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2023-01-06-01,3,13,8,14,50,3,6,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2023-01-06-08,3,10,8,12,53,3,5,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2023-01-06-15,3,15,8,9,59,3,5,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2023-01-09-08,3,14,7,12,56,3,5,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2023-01-09-15,3,8,11,31,32,3,4,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2023-01-09-22,4,18,6,13,48,4,5,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2023-01-09-28,3,13,7,15,57,3,5,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2023-01-10-07,2,9,6,7,47,2,5,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2023-01-10-14,4,43,20,37,24,4,3,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2023-01-13-07,3,12,9,10,54,3,5,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2023-01-16-01,3,13,8,7,47,3,5,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2023-01-16-08,3,10,7,11,56,3,5,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2023-01-16-15,15,1,13,11,67,1,5,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2023-01-16-22,3,13,7,10,58,3,5,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2023-01-17-01,3,10,6,11,55,3,5,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2023-01-17-07,3,10,6,16,55,3,5,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2023-01-17-14,3,258,7,10,827,3,4,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2023-01-18-01,3,9,10,16,69,3,5,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2023-01-19-01,3,12,9,15,54,3,5,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2023-01-19-08,3,13,7,17,59,3,5,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2023-01-19-15,3,12,7,11,54,3,5,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2023-01-19-22,3,11,9,16,52,3,5,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2023-01-23-01,3,11,15,8,29,3,5,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2023-01-23-08,4,11,8,6,53,4,5,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2023-01-23-15,2,14,13,10,52,2,5,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2023-01-23-21,3,14,7,6,53,3,5,not_computed_in_phase10f,not_computed_in_phase10f
per_exclusion,,,,,,,,2023-03-07-01,3,14,13,16,39,3,5,not_computed_in_phase10f,not_computed_in_phase10f
