ADEL_URYVR,ADEL_URYDL,ADEL_RMEL,RMEL_URYDL,RMEL_RMER,pdf_top20,da_ury_rank
653,77,24,689,895,2,5
290,782,7,901,1119,1,8
177,372,54,41,924,0,5
415,163,7,1095,45,2,7
379,905,183,745,526,1,8
4,886,41,339,157,3,7
1026,283,5,30,869,1,4
414,505,60,85,69,1,11
204,869,17,60,1134,1,8
14,224,4,79,52,3,7
165,119,3,714,189,1,4
447,1017,13,335,1308,2,10
66,87,4,495,483,3,4
403,1297,1,739,978,1,3
283,769,2,1120,610,1,6
849,1270,1,153,170,2,12
61,33,1,1254,93,1,3
1239,81,37,536,257,0,10
399,1039,4,191,163,3,13
263,742,5,108,171,3,6
294,140,48,419,70,0,7
9,1031,73,279,355,1,3
16,1233,1,37,140,3,6
550,166,13,137,591,2,5
181,1097,3,493,1162,1,5
523,659,6,83,1119,1,7
198,73,6,581,38,2,8
654,308,78,802,416,1,5
27,974,38,23,636,0,4
918,870,4,443,884,1,4
7,689,28,149,703,2,1
574,1258,1,126,340,1,9
223,257,13,5,141,3,14
76,2,44,338,142,1,5
699,599,69,70,1252,2,3
7,421,1,205,467,2,6
239,15,4,78,118,4,3
960,724,7,6,900,2,14
692,571,13,399,672,1,5
1188,216,2,128,325,2,13
132,1155,36,113,150,0,10
410,369,1,11,125,2,8
140,154,21,1102,1082,1,5
155,144,32,881,266,0,6
456,1017,1,112,205,1,6
81,679,34,706,125,0,5
989,162,44,1017,309,0,9
642,14,1,1110,76,2,13
510,425,1,258,858,1,1
656,1111,4,257,838,1,7
785,73,51,295,175,1,6
195,24,15,282,246,2,5
166,217,74,49,195,2,9
1232,110,9,868,182,1,4
338,1253,14,598,388,1,8
987,597,8,625,1130,1,9
418,159,2,1287,1037,2,6
732,1174,2,520,1025,2,7
571,403,11,87,682,3,14
200,220,2,189,584,2,4
379,633,36,1202,307,0,5
40,3,1,58,26,3,3
429,46,2,1267,144,2,6
375,1080,7,488,597,1,9
1225,981,130,302,1265,3,7
221,1022,7,552,1310,2,6
1037,10,7,1027,16,4,6
413,1245,8,117,83,4,11
566,452,30,286,968,1,3
11,242,44,384,151,1,4
276,1103,8,111,281,2,9
691,414,57,109,891,0,6
31,672,34,1093,376,0,2
42,416,69,92,189,0,6
1018,480,3,840,347,2,12
365,125,6,279,20,2,6
942,1133,9,233,1171,1,11
352,459,1,960,387,1,11
249,262,3,84,139,2,10
35,1020,73,1052,450,1,4
295,49,2,474,309,3,2
806,700,1,40,391,2,13
78,606,41,535,141,0,4
682,250,1,202,1130,1,5
528,183,1,465,551,2,9
837,360,15,359,668,2,13
449,479,1,200,39,2,12
888,127,4,488,27,1,13
936,1317,2,44,1279,1,14
366,547,6,207,704,1,4
188,551,10,1268,1166,1,7
536,129,1,580,503,2,4
16,421,67,284,892,2,9
13,180,67,152,407,1,1
105,878,19,77,608,2,10
212,1014,43,177,660,0,7
436,194,1,785,190,1,4
152,672,1,410,398,2,10
754,1243,4,903,751,2,10
587,337,1,579,1304,2,3
143,80,4,59,101,1,4
1192,629,86,62,309,4,15
34,69,120,111,194,2,3
402,1264,2,255,672,1,7
345,124,9,454,57,2,12
704,201,1,29,346,1,5
987,214,9,422,315,1,5
517,1052,1,43,914,3,5
48,909,15,215,296,1,4
61,157,3,950,278,3,6
411,774,3,14,1042,3,7
76,850,5,623,400,1,9
761,310,2,258,247,1,8
132,71,7,317,64,2,2
284,463,30,187,726,0,6
336,645,1,774,465,1,2
103,807,56,206,990,0,5
264,290,2,515,357,2,4
703,348,9,106,575,2,4
38,1115,12,94,865,1,11
471,174,13,903,51,1,7
120,470,11,13,864,2,8
352,205,10,344,88,2,5
308,98,1,406,712,2,9
375,160,6,222,474,2,12
508,1141,110,1169,15,1,12
17,1286,143,275,299,3,6
758,363,5,136,1243,1,4
171,149,3,203,1080,1,6
165,89,83,114,980,2,4
175,498,30,138,759,0,3
528,557,16,680,274,2,9
537,83,5,237,47,2,6
131,135,6,326,66,1,3
753,58,24,91,30,0,5
912,639,2,598,642,2,5
1285,1180,1,64,1011,1,14
52,247,18,104,404,2,2
222,1112,5,194,495,2,4
29,1209,142,183,891,0,8
23,231,13,141,131,1,3
62,668,7,172,471,1,13
213,7,13,285,326,3,4
581,764,1,471,518,1,11
488,311,6,80,1084,1,7
524,96,6,206,135,3,6
269,29,4,60,336,2,5
254,68,5,156,447,1,5
292,592,2,65,46,1,8
102,549,2,225,942,1,10
452,502,1,308,271,2,13
224,744,12,290,1045,1,7
170,269,12,144,496,1,6
297,1017,14,1153,465,2,9
13,125,20,344,1148,3,3
999,224,6,513,850,1,5
947,24,5,499,735,1,2
1211,420,1,214,1087,2,6
68,44,31,348,158,1,2
106,298,14,52,802,1,9
59,170,6,1305,77,1,6
1147,384,1,276,799,1,3
44,611,107,193,287,2,6
1196,14,3,470,366,3,5
1104,147,1,1124,214,3,11
85,370,568,879,734,1,8
263,28,12,115,66,2,6
1312,389,2,13,450,2,10
1259,42,27,213,477,1,5
62,955,404,698,706,1,8
198,1138,48,55,627,0,10
1237,830,4,58,296,1,9
228,782,14,761,17,2,10
691,685,3,757,638,1,7
530,1137,1,941,209,1,12
875,748,6,536,1075,2,3
175,257,19,59,1087,2,4
353,71,2,390,283,2,5
294,129,1,418,338,1,1
586,279,1,57,763,1,11
66,318,249,53,80,1,8
12,316,8,341,526,4,2
87,765,1,271,190,1,6
452,549,15,61,1049,1,2
443,799,3,64,262,3,10
161,80,9,286,142,2,4
63,1187,120,307,272,0,5
61,619,4,1,342,2,11
25,94,10,232,129,1,2
280,797,18,427,383,1,6
46,246,4,48,78,1,6
1163,384,1,657,537,1,6
1267,50,15,89,148,2,10
237,636,2,83,850,2,4
194,1131,69,882,1319,0,6
15,617,11,67,112,3,4
980,186,4,62,1241,1,4
205,1042,5,101,715,1,10
711,626,11,446,967,1,4
1315,1281,1,98,846,2,10
910,345,1,13,996,3,4
98,31,1,614,1250,3,2
259,449,163,354,113,0,12
239,491,844,1126,61,1,6
768,597,1,83,935,1,7
490,886,2,45,860,2,10
1188,399,1,113,1043,1,9
376,760,64,1106,592,1,8
274,327,1,63,176,2,10
3,268,162,203,334,3,2
212,194,58,79,137,0,4
1223,378,1,242,884,2,4
774,238,4,343,191,1,8
170,57,6,271,31,2,3
172,1001,3,824,154,3,10
490,60,1,54,182,3,9
160,1037,19,864,197,1,5
560,105,62,119,23,1,10
462,109,1,25,538,3,6
354,61,4,631,980,1,3
31,577,74,378,338,1,9
498,717,3,93,515,1,7
191,341,1,50,162,1,6
814,177,21,345,114,0,6
499,1028,10,1153,298,2,10
67,359,1,675,197,1,4
611,696,2,463,279,1,9
1143,114,1,209,36,3,6
530,39,25,102,184,0,4
891,356,1,560,68,3,7
44,219,35,177,328,2,5
139,489,2,1178,1103,1,2
922,1079,28,112,414,1,9
1090,1105,25,101,172,1,9
512,726,6,647,645,1,10
426,372,69,455,308,0,4
810,546,4,116,187,1,6
1122,329,3,63,452,1,8
641,91,1,11,1026,4,5
852,119,1,238,207,1,10
33,167,1,149,1150,1,8
17,1198,35,299,191,2,4
609,1319,1,580,290,1,12
367,1107,70,93,888,0,9
223,151,53,104,17,1,10
118,239,11,180,247,1,6
548,446,44,112,245,1,8
376,1283,1,580,1074,2,10
491,316,15,953,56,1,14
275,994,7,163,17,3,14
