annotation,type,n_annotated,K,top_K_count,expected,OR,p_fisher
Bentley_PDF,primary,61,5,2,0.231,13.77,0.01917
Bentley_PDF,primary,61,10,3,0.462,8.852,0.00892
Bentley_PDF,primary,61,15,3,0.693,5.164,0.02867
Bentley_PDF,primary,61,20,4,0.924,5.164,0.01144
Bentley_PDF,primary,61,25,5,1.154,5.164,0.00463
Bentley_PDF,primary,61,30,6,1.385,5.164,0.00188
Bentley_PDF,primary,61,40,8,1.847,5.164,0.00031
Bentley_PDF,primary,61,50,9,2.309,4.534,0.0003
Bentley_PDF,primary,61,75,9,3.463,2.817,0.00591
Bentley_PDF,primary,61,100,11,4.618,2.553,0.00458
Bentley_serotonin,primary,33,5,0,0.125,0.0,1.0
Bentley_serotonin,primary,33,10,0,0.25,0.0,1.0
Bentley_serotonin,primary,33,15,0,0.375,0.0,1.0
Bentley_serotonin,primary,33,20,0,0.5,0.0,1.0
Bentley_serotonin,primary,33,25,0,0.625,0.0,1.0
Bentley_serotonin,primary,33,30,0,0.749,0.0,1.0
Bentley_serotonin,primary,33,40,0,0.999,0.0,1.0
Bentley_serotonin,primary,33,50,0,1.249,0.0,1.0
Bentley_serotonin,primary,33,75,0,1.874,0.0,1.0
Bentley_serotonin,primary,33,100,1,2.498,0.394,0.928
Bentley_ser_or_PDF,primary,94,5,2,0.356,8.702,0.0435
Bentley_ser_or_PDF,primary,94,10,3,0.712,5.594,0.02903
Bentley_ser_or_PDF,primary,94,15,3,1.067,3.263,0.08504
Bentley_ser_or_PDF,primary,94,20,4,1.423,3.263,0.04823
Bentley_ser_or_PDF,primary,94,25,5,1.779,3.263,0.02786
Bentley_ser_or_PDF,primary,94,30,6,2.135,3.263,0.01625
Bentley_ser_or_PDF,primary,94,40,8,2.846,3.263,0.00561
Bentley_ser_or_PDF,primary,94,50,9,3.558,2.865,0.00693
Bentley_ser_or_PDF,primary,94,75,9,5.337,1.78,0.07852
Bentley_ser_or_PDF,primary,94,100,12,7.116,1.78,0.04507
CeNGEN_ser_or_PDF,exploratory,0,5,0,0.0,,1.0
CeNGEN_ser_or_PDF,exploratory,0,10,0,0.0,,1.0
CeNGEN_ser_or_PDF,exploratory,0,15,0,0.0,,1.0
CeNGEN_ser_or_PDF,exploratory,0,20,0,0.0,,1.0
CeNGEN_ser_or_PDF,exploratory,0,25,0,0.0,,1.0
CeNGEN_ser_or_PDF,exploratory,0,30,0,0.0,,1.0
CeNGEN_ser_or_PDF,exploratory,0,40,0,0.0,,1.0
CeNGEN_ser_or_PDF,exploratory,0,50,0,0.0,,1.0
CeNGEN_ser_or_PDF,exploratory,0,75,0,0.0,,1.0
CeNGEN_ser_or_PDF,exploratory,0,100,0,0.0,,1.0
Neuropeptide_Ripoll,exploratory,972,5,2,3.679,0.239,0.98099
Neuropeptide_Ripoll,exploratory,972,10,6,7.358,0.539,0.90501
Neuropeptide_Ripoll,exploratory,972,15,10,11.037,0.718,0.81985
Neuropeptide_Ripoll,exploratory,972,20,14,14.716,0.838,0.7404
Neuropeptide_Ripoll,exploratory,972,25,17,18.395,0.763,0.80975
Neuropeptide_Ripoll,exploratory,972,30,20,22.074,0.718,0.85892
Neuropeptide_Ripoll,exploratory,972,40,26,29.432,0.667,0.92072
Neuropeptide_Ripoll,exploratory,972,50,35,36.79,0.838,0.77613
Neuropeptide_Ripoll,exploratory,972,75,54,55.185,0.923,0.6805
Neuropeptide_Ripoll,exploratory,972,100,71,73.581,0.879,0.76854
Combined_neuromod,exploratory,1002,5,4,3.793,1.273,0.6508
Combined_neuromod,exploratory,1002,10,9,7.585,2.865,0.26269
Combined_neuromod,exploratory,1002,15,13,11.378,2.069,0.25837
Combined_neuromod,exploratory,1002,20,17,15.17,1.804,0.25005
Combined_neuromod,exploratory,1002,25,21,18.963,1.671,0.24058
Combined_neuromod,exploratory,1002,30,24,22.755,1.273,0.38688
Combined_neuromod,exploratory,1002,40,32,30.341,1.273,0.34135
Combined_neuromod,exploratory,1002,50,41,37.926,1.45,0.1948
Combined_neuromod,exploratory,1002,75,60,56.889,1.273,0.23734
Combined_neuromod,exploratory,1002,100,78,75.852,1.129,0.35004
Randi_Funatlas,exploratory,157,5,1,0.594,1.854,0.46935
Randi_Funatlas,exploratory,157,10,2,1.188,1.854,0.33736
Randi_Funatlas,exploratory,157,15,2,1.783,1.141,0.54809
Randi_Funatlas,exploratory,157,20,2,2.377,0.824,0.70783
Randi_Funatlas,exploratory,157,25,2,2.971,0.645,0.81784
Randi_Funatlas,exploratory,157,30,2,3.565,0.53,0.88942
Randi_Funatlas,exploratory,157,40,3,4.754,0.601,0.87341
Randi_Funatlas,exploratory,157,50,4,5.942,0.645,0.86523
Randi_Funatlas,exploratory,157,75,7,8.914,0.763,0.81018
Randi_Funatlas,exploratory,157,100,9,11.885,0.733,0.86371
