animal,ADEL–URYVR_rank,ADEL–URYVR_val,ADEL–URYDL_rank,ADEL–URYDL_val,ADEL–RMEL_rank,ADEL–RMEL_val,RMEL–URYDL_rank,RMEL–URYDL_val,RMEL–RMER_rank,RMEL–RMER_val,pdf_in_top20,DA_URY_min_rank
2022-06-14-01,3,-0.06940854124710782,12,-0.04673468420191327,8,-0.05009270988925509,9,-0.049409081170630954,51,-0.025633715224442386,5,3
2022-06-14-07,3,-0.07186320090882167,5,-0.06257558923645444,7,-0.05677970791332755,13,-0.047261944084865455,51,-0.027529357359540322,5,3
2022-06-14-13,3,-0.06964683907610329,9,-0.04681143613385648,7,-0.050111939840845596,13,-0.0441587079141845,54,-0.025229119194866097,5,3
2022-06-28-01,4,-0.07078086898871176,58,-0.024633928847198065,6,-0.056346692525346194,7,-0.05428395416252381,93,-0.018603290933328395,4,4
2022-06-28-07,3,-0.06737015248252969,15,-0.04480648795869518,17,-0.04413805318970235,9,-0.04717391295930536,57,-0.025139589003941143,5,3
2022-07-15-06,3,-0.06964343835205938,17,-0.043871118745264524,14,-0.04714356686974139,8,-0.04999205562184581,95,-0.018147700244142365,5,3
2022-07-15-12,2,-0.07200074327888074,5,-0.05608221050543658,10,-0.050074998365148414,11,-0.048717339683439886,60,-0.025507152010397702,5,2
2022-07-20-01,3,-0.0690968708636398,11,-0.047738373107145335,8,-0.049925647683506394,7,-0.05050716061560901,47,-0.026635933792742678,5,3
2022-07-26-01,3,-0.0690716460003479,14,-0.0451126463673627,6,-0.050914378448882934,9,-0.047601730554566325,51,-0.025925532720977446,5,3
2022-08-02-01,3,-0.0702446641752397,12,-0.046739837743027826,8,-0.05021675787138538,16,-0.04304669396842031,52,-0.02510979380475828,5,3
2022-12-21-06,3,-0.07034189448474082,8,-0.04974820216428791,17,-0.04441500976129202,10,-0.048664881454401385,52,-0.026535076632082055,5,3
