pair,rank,deltaQ_cepnem,deltaQ_gcamp,n_recordings_roam,n_recordings_dwell,n_frames_roam,n_frames_dwell,n_eff_roam,n_eff_dwell
ADEL–URYVR,5,-0.122158,-0.08531,15,27,4533,17526,881.51,3231.13
ADEL–URYDL,9,-0.098,-0.084092,14,28,4244,20654,1093.7,3785.36
ADEL–RMEL,10,-0.095657,-0.082358,15,29,4360,20662,834.22,4351.62
RMEL–URYDL,16,-0.07544,-0.1259,15,29,4353,20904,828.54,4230.74
RMEL–URYVR,21,-0.070119,-0.123242,16,28,5214,16896,900.45,3490.36
RMEL–RMER,32,-0.05791,0.0,18,33,5339,22659,855.75,4712.51
AVDL–URYDL,38,-0.055801,-0.023995,15,30,4358,23225,1436.39,5016.71
ADEL–URXL,59,-0.044975,-0.151591,15,29,4550,20168,849.42,3693.79
RID–URXL,70,-0.039616,-0.022029,17,34,5201,25164,1273.86,5531.03
ADEL–OLQVR,121,-0.021501,0.0,14,26,4252,18772,1112.74,3318.27
RID–RMEL,132,-0.01904,0.065413,17,33,5011,24059,1030.58,5341.9
AVDL–RID,141,0.017153,0.031173,17,34,5016,26380,1205.54,6164.31
OLQVL–RMER,143,0.016875,-0.10046,14,31,4365,23398,1552.53,5140.86
I1R–RMER,156,0.014917,0.0,19,35,5587,26770,1698.17,5095.59
RMEL–URYVL,201,-0.004907,-0.0,15,30,4380,21509,1062.41,4393.64
OLQDL–RID,203,-0.004767,-0.112459,18,37,5259,28817,1582.55,6831.03
AVDL–OLQDL,229,-0.001873,0.0,18,35,5344,26579,1620.19,5196.31
RMER–URYDL,514,0.0,0.0,16,32,4601,24063,1439.55,4469.99
RMER–URYVL,515,0.0,-0.0,16,33,4628,24668,1460.84,4923.13
RMER–URYVR,516,0.0,-0.009039,17,30,5462,18893,1025.01,4127.1
ADEL–URYVL,523,0.0,0.0,14,30,4271,22151,1292.72,3691.94
RMER–URXL,540,0.0,-0.0,18,34,5529,23764,1683.59,5178.06
ADEL–OLQDL,541,0.0,-0.0,16,32,4608,23821,1312.3,4626.92
ADEL–OLQDR,542,0.0,0.0,15,31,4468,23652,1137.04,3597.24
RMEL–URXL,546,0.0,0.0,17,31,5281,20605,998.6,4478.29
ADEL–OLLR,549,-0.0,0.0,14,27,4182,19535,872.36,3393.17
AVDL–OLLL,623,0.0,-0.0,16,30,4872,22477,964.33,4265.03
AVDL–OLLR,624,0.0,0.007349,16,30,4918,22293,985.65,4329.39
AVDL–OLQDR,625,0.0,0.013705,17,34,5204,26410,1236.59,4611.95
AVDL–OLQVL,626,0.0,-0.025715,13,30,4122,24160,1011.8,4725.8
AVDL–OLQVR,627,0.0,-0.008056,15,28,4938,20193,1244.48,4131.09
AVDL–RMEL,632,0.0,0.0,17,32,5096,23420,1019.87,5248.82
AVDL–RMER,633,0.0,0.0,18,34,5344,24980,1551.08,4768.87
AVDL–URXL,636,0.0,0.0,17,33,5286,24526,1130.11,4415.37
AVDL–URYVL,637,0.0,0.020226,15,32,4385,25430,1285.25,4804.33
AVDL–URYVR,638,0.0,0.082701,16,29,5219,19655,1156.9,3467.91
AVDL–I1L,643,0.0,0.0,17,32,5123,26054,1159.3,5059.23
AVDL–I1R,644,0.0,0.018303,18,34,5344,27532,1177.27,4735.9
RID–URYDL,888,0.0,0.0,15,32,4273,25463,1251.84,5436.39
RID–URYVR,889,0.0,0.0,16,29,5134,18694,1245.1,4492.33
RID–RMER,895,0.0,-0.045358,18,36,5259,27218,1541.08,6620.12
OLQVL–RMEL,896,0.0,0.0,13,28,4117,20239,745.67,5328.8
OLQVR–RID,900,0.0,-0.030732,15,30,4853,22431,1418.86,5306.32
OLQVR–RMEL,905,0.0,0.018266,15,27,4933,17872,1323.46,3405.61
ADEL–I1L,922,0.0,0.0,15,28,4387,21696,944.09,4131.75
ADEL–I1R,932,0.0,0.0,16,30,4608,23174,1143.32,4083.53
OLLL–RID,964,0.0,0.0,16,31,4787,23115,855.61,4109.54
OLLL–RMER,968,0.0,0.004783,17,31,5115,21715,1074.86,4575.86
OLQDR–RID,992,0.0,0.0,17,36,5119,28648,1513.33,5273.22
OLQDR–RMEL,995,0.0,0.0,17,33,5199,24089,1090.0,4485.55
OLQVL–RID,1002,0.0,0.0,13,31,4037,24798,1074.86,5827.31
OLLR–RID,1011,0.0,-0.045985,16,32,4833,24531,1069.9,5252.66
OLQDL–RMER,1022,0.0,0.0,19,37,5587,27417,1656.67,5358.25
I1L–RID,1072,0.0,0.000506,17,33,5038,26692,1421.0,6034.56
I1L–RMEL,1077,0.0,0.0,17,30,5118,22133,837.11,4868.51
I1L–RMER,1078,0.0,0.0,18,33,5366,25292,1764.51,5140.79
FLPL–RMEL,1085,0.0,0.0,15,29,4907,19319,1596.52,4127.9
FLPL–RMER,1086,0.0,0.06339,16,32,5155,22478,1813.89,4443.61
ADEL–OLQVL,1139,-0.0,0.0,13,28,4058,21326,948.74,3549.84
I1R–RMEL,1274,0.0,-0.028809,18,32,5339,23611,976.68,4558.16
I1R–RID,1279,0.0,0.044742,18,35,5259,28170,1438.32,6353.56
